driverid,truckid,model,event,latitude,longitude,city,state,velocity,event_ind,idling_ind
A16,A16,Navistar,normal,38.716687,-121.364422,Antelope,California,0,0,1
A90,A90,Ford,normal,34.579434,-118.116461,Palmdale,California,19,0,0
A94,A94,Volvo,normal,39.017396,-122.057748,Arbuckle,California,64,0,0
A89,A89,Caterpillar,normal,36.977173,-121.899402,Aptos,California,41,0,0
A32,A32,Hino,normal,32.715329,-117.157255,San Diego,California,46,0,0
A43,A43,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,67,0,0
A88,A88,Hino,normal,36.471865,-6.196595,San Fernando,California,0,0,1
A17,A17,Western Star,normal,38.752124,-121.288006,Roseville,California,20,0,0
A82,A82,Caterpillar,normal,34.579434,-118.116461,Palmdale,California,31,0,0
A43,A43,Peterbilt,normal,39.017396,-122.057748,Arbuckle,California,0,0,1
A7,A7,Ford,normal,38.799703,-121.720574,Knights Landing,California,61,0,0
A9,A9,Volvo,lane departure,33.846404,-118.046731,La Palma,California,74,1,0
A55,A55,Caterpillar,normal,32.715329,-117.157255,San Diego,California,75,0,0
A22,A22,Caterpillar,normal,34.500831,-117.185876,Apple Valley,California,58,0,0
A56,A56,Caterpillar,normal,32.61768,-116.187424,Jacumba,California,74,0,0
A100,A100,Peterbilt,normal,39.409608,-123.355566,Willits,California,0,0,1
A39,A39,Caterpillar,normal,38.716687,-121.364422,Antelope,California,49,0,0
A26,A26,Peterbilt,normal,33.663357,-116.310009,La Quinta,California,20,0,0
A40,A40,Ford,normal,38.130197,-121.272447,Lodi,California,37,0,0
A11,A11,Peterbilt,normal,34.500831,-117.185876,Apple Valley,California,53,0,0
A6,A6,Caterpillar,normal,34.106676,-117.806726,San Dimas,California,36,0,0
A32,A32,Hino,normal,38.297538,-122.286865,Napa,California,0,0,1
A60,A60,Caterpillar,normal,40.761243,-123.994778,Kneeland,California,23,0,0
A39,A39,Caterpillar,normal,37.962146,-122.345526,San Pablo,California,0,0,1
A8,A8,Navistar,normal,39.409608,-123.355566,Willits,California,36,0,0
A89,A89,Caterpillar,normal,37.639097,-120.996878,Modesto,California,16,0,0
A36,A36,Ford,normal,34.579434,-118.116461,Palmdale,California,55,0,0
A25,A25,Volvo,normal,33.683947,-117.794694,Irvine,California,64,0,0
A98,A98,Volvo,normal,34.106676,-117.806726,San Dimas,California,74,0,0
A9,A9,Volvo,normal,38.297538,-122.286865,Napa,California,40,0,0
A53,A53,Navistar,normal,39.409608,-123.355566,Willits,California,37,0,0
A73,A73,Oshkosh,normal,39.230151,-121.136075,Rough and Ready,California,70,0,0
A4,A4,Kenworth,normal,34.136119,-117.865339,Glendora,California,0,0,1
A96,A96,Peterbilt,normal,35.373292,-119.018712,Bakersfield,California,16,0,0
A37,A37,Kenworth,unsafe following distance,34.500831,-117.185876,Apple Valley,California,0,1,1
A60,A60,Caterpillar,normal,37.957702,-121.29078,Stockton,California,22,0,0
A43,A43,Peterbilt,lane departure,39.017396,-122.057748,Arbuckle,California,74,1,0
A24,A24,Navistar,normal,34.579434,-118.116461,Palmdale,California,0,0,1
A73,A73,Oshkosh,normal,39.230151,-121.136075,Rough and Ready,California,58,0,0
A39,A39,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,23,0,0
A11,A11,Peterbilt,normal,36.471865,-6.196595,San Fernando,California,0,0,1
A18,A18,Caterpillar,normal,39.409608,-123.355566,Willits,California,41,0,0
A93,A93,Navistar,normal,36.852455,-121.401602,Hollister,California,0,0,1
A5,A5,Hino,normal,34.579434,-118.116461,Palmdale,California,0,0,1
A55,A55,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,50,0,0
A41,A41,Navistar,normal,34.500831,-117.185876,Apple Valley,California,0,0,1
A89,A89,Caterpillar,normal,37.968812,-121.668008,Knightsen,California,45,0,0
A71,A71,Peterbilt,overspeed,37.957702,-121.29078,Stockton,California,91,1,0
A72,A72,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,61,0,0
A60,A60,Caterpillar,normal,34.435829,-119.827639,Goleta,California,0,0,1
A88,A88,Hino,normal,40.563763,-122.238892,Palo Cedro,California,25,0,0
A33,A33,Caterpillar,normal,37.941325,-122.484704,San Quentin,California,0,0,1
A31,A31,Kenworth,normal,37.968812,-121.668008,Knightsen,California,0,0,1
A57,A57,Freightliner,normal,34.500831,-117.185876,Apple Valley,California,0,0,1
A8,A8,Navistar,normal,34.136119,-117.865339,Glendora,California,69,0,0
A43,A43,Peterbilt,normal,39.017396,-122.057748,Arbuckle,California,75,0,0
A99,A99,Peterbilt,normal,34.44805,-119.242889,Ojai,California,27,0,0
A6,A6,Caterpillar,normal,37.441883,-122.143019,Palo Alto,California,22,0,0
A100,A100,Peterbilt,normal,39.409608,-123.355566,Willits,California,0,0,1
A92,A92,Volvo,normal,38.799703,-121.720574,Knights Landing,California,23,0,0
A48,A48,Peterbilt,unsafe following distance,37.957702,-121.29078,Stockton,California,16,1,0
A4,A4,Kenworth,normal,34.953034,-120.435719,Santa Maria,California,73,0,0
A72,A72,Caterpillar,normal,39.150171,-123.207783,Ukiah,California,0,0,1
A57,A57,Freightliner,normal,38.019366,-122.134132,Martinez,California,17,0,0
A3,A3,Ford,normal,39.150171,-123.207783,Ukiah,California,18,0,0
A65,A65,Hino,normal,38.440467,-122.714431,Santa Rosa,California,63,0,0
A16,A16,Navistar,normal,39.017396,-122.057748,Arbuckle,California,27,0,0
A69,A69,Volvo,normal,36.977173,-121.899402,Aptos,California,22,0,0
A40,A40,Ford,normal,32.811161,-115.380264,Holtville,California,55,0,0
A45,A45,Caterpillar,normal,37.957702,-121.29078,Stockton,California,29,0,0
A29,A29,Ford,normal,33.19587,-117.379483,Oceanside,California,20,0,0
A17,A17,Western Star,normal,37.957702,-121.29078,Stockton,California,0,0,1
A56,A56,Caterpillar,normal,37.441883,-122.143019,Palo Alto,California,54,0,0
A14,A14,Crane,normal,34.500831,-117.185876,Apple Valley,California,16,0,0
A6,A6,Caterpillar,normal,38.36408,-122.524149,Glen Ellen,California,0,0,1
A76,A76,Caterpillar,normal,39.409608,-123.355566,Willits,California,17,0,0
A69,A69,Volvo,normal,39.409608,-123.355566,Willits,California,40,0,0
A31,A31,Kenworth,normal,37.962146,-122.345526,San Pablo,California,40,0,0
A4,A4,Kenworth,normal,38.40765,-122.947713,Occidental,California,70,0,0
A8,A8,Navistar,normal,34.136119,-117.865339,Glendora,California,46,0,0
A14,A14,Crane,lane departure,34.354166,-119.059271,Santa Paula,California,48,1,0
A48,A48,Peterbilt,normal,36.471865,-6.196595,San Fernando,California,47,0,0
A10,A10,Peterbilt,normal,40.761243,-123.994778,Kneeland,California,26,0,0
A32,A32,Hino,normal,34.579434,-118.116461,Palmdale,California,39,0,0
A36,A36,Ford,normal,38.130197,-121.272447,Lodi,California,34,0,0
A78,A78,Navistar,normal,38.716687,-121.364422,Antelope,California,75,0,0
A32,A32,Hino,normal,41.526509,-124.038407,Klamath,California,0,0,1
A57,A57,Freightliner,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
A92,A92,Volvo,normal,34.500831,-117.185876,Apple Valley,California,64,0,0
A78,A78,Navistar,normal,37.639097,-120.996878,Modesto,California,44,0,0
A56,A56,Caterpillar,normal,37.441883,-122.143019,Palo Alto,California,20,0,0
A20,A20,Western Star,normal,36.852455,-121.401602,Hollister,California,69,0,0
A13,A13,Oshkosh,normal,38.130197,-121.272447,Lodi,California,60,0,0
A7,A7,Ford,normal,38.440467,-122.714431,Santa Rosa,California,42,0,0
A32,A32,Hino,normal,38.130197,-121.272447,Lodi,California,0,0,1
A89,A89,Caterpillar,normal,37.639097,-120.996878,Modesto,California,0,0,1
A70,A70,Peterbilt,normal,39.017396,-122.057748,Arbuckle,California,53,0,0
A53,A53,Navistar,normal,39.150171,-123.207783,Ukiah,California,19,0,0
A29,A29,Ford,lane departure,37.441883,-122.143019,Palo Alto,California,24,1,0
A51,A51,Crane,normal,38.130197,-121.272447,Lodi,California,69,0,0
A13,A13,Oshkosh,normal,38.130197,-121.272447,Lodi,California,64,0,0
A49,A49,Caterpillar,normal,33.743076,-117.109197,Homeland,California,40,0,0
A69,A69,Volvo,normal,35.373292,-119.018712,Bakersfield,California,57,0,0
A10,A10,Peterbilt,normal,34.354166,-119.059271,Santa Paula,California,45,0,0
A51,A51,Crane,normal,38.716687,-121.364422,Antelope,California,44,0,0
A56,A56,Caterpillar,normal,38.36408,-122.524149,Glen Ellen,California,27,0,0
A71,A71,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,16,0,0
A56,A56,Caterpillar,normal,34.435829,-119.827639,Goleta,California,44,0,0
A6,A6,Caterpillar,normal,37.441883,-122.143019,Palo Alto,California,56,0,0
A36,A36,Ford,normal,34.579434,-118.116461,Palmdale,California,0,0,1
A46,A46,Volvo,normal,32.715329,-117.157255,San Diego,California,0,0,1
A80,A80,Peterbilt,normal,36.471865,-6.196595,San Fernando,California,0,0,1
A49,A49,Caterpillar,normal,33.743076,-117.109197,Homeland,California,75,0,0
A31,A31,Kenworth,normal,39.145725,-121.591355,Marysville,California,71,0,0
A99,A99,Peterbilt,normal,34.44805,-119.242889,Ojai,California,50,0,0
A33,A33,Caterpillar,normal,37.441883,-122.143019,Palo Alto,California,0,0,1
A79,A79,Volvo,normal,37.957702,-121.29078,Stockton,California,0,0,1
A56,A56,Caterpillar,normal,34.435829,-119.827639,Goleta,California,37,0,0
A82,A82,Caterpillar,normal,34.579434,-118.116461,Palmdale,California,72,0,0
