driverid,truckid,model,month,year,Miles,Gas
A5,A5,Hino,JAN,2009,10509,2310
A6,A6,Caterpillar,JUN,2013,14488,2883
A6,A6,Caterpillar,MAY,2013,13317,3091
A6,A6,Caterpillar,APR,2013,10927,2161
A6,A6,Caterpillar,MAR,2013,10972,1866
A6,A6,Caterpillar,FEB,2013,14322,2983
A6,A6,Caterpillar,JAN,2013,12956,2435
A6,A6,Caterpillar,DEC,2012,14293,2596
A6,A6,Caterpillar,NOV,2012,12593,2384
A6,A6,Caterpillar,OCT,2012,11899,2690
A6,A6,Caterpillar,SEP,2012,8693,1540
A6,A6,Caterpillar,AUG,2012,13617,3045
A6,A6,Caterpillar,JUL,2012,10513,2583
A6,A6,Caterpillar,JUN,2012,11623,2164
A6,A6,Caterpillar,MAY,2012,13088,2274
A6,A6,Caterpillar,APR,2012,11661,2373
A6,A6,Caterpillar,MAR,2012,11573,2232
A6,A6,Caterpillar,FEB,2012,10744,2292
A6,A6,Caterpillar,JAN,2012,13503,2849
A6,A6,Caterpillar,DEC,2011,9839,1828
A6,A6,Caterpillar,NOV,2011,9902,1996
A6,A6,Caterpillar,OCT,2011,13531,2893
A6,A6,Caterpillar,SEP,2011,13636,2322
A6,A6,Caterpillar,AUG,2011,9734,1923
A6,A6,Caterpillar,JUL,2011,11385,2767
A6,A6,Caterpillar,JUN,2011,13574,1915
A6,A6,Caterpillar,MAY,2011,9115,1915
A6,A6,Caterpillar,APR,2011,9261,1915
A6,A6,Caterpillar,MAR,2011,10725,1915
A6,A6,Caterpillar,FEB,2011,13198,1915
A6,A6,Caterpillar,JAN,2011,15596,1915
A6,A6,Caterpillar,DEC,2010,13735,1915
A6,A6,Caterpillar,NOV,2010,10332,1915
A6,A6,Caterpillar,OCT,2010,12365,1915
A6,A6,Caterpillar,SEP,2010,12739,1915
A6,A6,Caterpillar,AUG,2010,13941,1915
A6,A6,Caterpillar,JUL,2010,14539,1915
A6,A6,Caterpillar,JUN,2010,9379,1915
A6,A6,Caterpillar,MAY,2010,8992,1915
A6,A6,Caterpillar,APR,2010,12684,1915
A6,A6,Caterpillar,MAR,2010,10226,1915
A6,A6,Caterpillar,FEB,2010,13618,1915
A6,A6,Caterpillar,JAN,2010,12659,1915
A6,A6,Caterpillar,DEC,2009,14266,1915
A6,A6,Caterpillar,NOV,2009,14728,1915
A6,A6,Caterpillar,OCT,2009,10162,1915
A6,A6,Caterpillar,SEP,2009,11256,1915
A6,A6,Caterpillar,AUG,2009,11260,1915
A6,A6,Caterpillar,JUL,2009,12715,1915
A6,A6,Caterpillar,JUN,2009,9193,1915
A6,A6,Caterpillar,MAY,2009,13367,1915
A6,A6,Caterpillar,APR,2009,11053,1915
A6,A6,Caterpillar,MAR,2009,12388,1915
A6,A6,Caterpillar,FEB,2009,9924,1915
A6,A6,Caterpillar,JAN,2009,12680,1915
A7,A7,Ford,JUN,2013,10938,2231
A7,A7,Ford,MAY,2013,12080,2142
A7,A7,Ford,APR,2013,13539,2346
A7,A7,Ford,MAR,2013,13453,2413
A7,A7,Ford,FEB,2013,12754,2444
A7,A7,Ford,JAN,2013,11147,2083
A7,A7,Ford,DEC,2012,11749,2442
A7,A7,Ford,NOV,2012,15816,2728
A7,A7,Ford,OCT,2012,13330,2369
A7,A7,Ford,SEP,2012,10803,2134
A7,A7,Ford,AUG,2012,9275,1863
A7,A7,Ford,JUL,2012,11223,2307
A7,A7,Ford,JUN,2012,13215,2367
A7,A7,Ford,MAY,2012,8849,1812
A7,A7,Ford,APR,2012,10577,2343
A7,A7,Ford,MAR,2012,13126,2614
A7,A7,Ford,FEB,2012,11993,2153
A7,A7,Ford,JAN,2012,12873,2623
A7,A7,Ford,DEC,2011,14063,2799
A7,A7,Ford,NOV,2011,9100,1611
A7,A7,Ford,OCT,2011,13889,2768
A7,A7,Ford,SEP,2011,10944,2152
A7,A7,Ford,AUG,2011,12789,2490
A7,A7,Ford,JUL,2011,14445,3161
A7,A7,Ford,JUN,2011,11350,2407
A7,A7,Ford,MAY,2011,14389,2407
A7,A7,Ford,APR,2011,14091,2407
A7,A7,Ford,MAR,2011,12740,2407
A7,A7,Ford,FEB,2011,9969,2407
A7,A7,Ford,JAN,2011,10815,2407
A7,A7,Ford,DEC,2010,11890,2407
A7,A7,Ford,NOV,2010,14014,2407
A7,A7,Ford,OCT,2010,12011,2407
A7,A7,Ford,SEP,2010,10561,2407
A7,A7,Ford,AUG,2010,10518,2407
A7,A7,Ford,JUL,2010,10741,2407
A7,A7,Ford,JUN,2010,10007,2407
A7,A7,Ford,MAY,2010,13537,2407
A7,A7,Ford,APR,2010,15374,2407
A7,A7,Ford,MAR,2010,14594,2407
A7,A7,Ford,FEB,2010,14774,2407
A7,A7,Ford,JAN,2010,14656,2407
A7,A7,Ford,DEC,2009,8060,2407
A7,A7,Ford,NOV,2009,12866,2407
A7,A7,Ford,OCT,2009,10530,2407
A7,A7,Ford,SEP,2009,9826,2407
A7,A7,Ford,AUG,2009,9790,2407
A7,A7,Ford,JUL,2009,10223,2407
A7,A7,Ford,JUN,2009,13132,2407
A7,A7,Ford,MAY,2009,14683,2407
A7,A7,Ford,APR,2009,12253,2407
A7,A7,Ford,MAR,2009,12422,2407
A7,A7,Ford,FEB,2009,9853,2407
A7,A7,Ford,JAN,2009,12148,2407
A8,A8,Navistar,JUN,2013,11392,2280
A8,A8,Navistar,MAY,2013,8922,1834
A8,A8,Navistar,APR,2013,11422,2202
A8,A8,Navistar,MAR,2013,13142,2478
A8,A8,Navistar,FEB,2013,14133,2813
A8,A8,Navistar,JAN,2013,10184,1819
A8,A8,Navistar,DEC,2012,9660,1690
A8,A8,Navistar,NOV,2012,12201,2359
A8,A8,Navistar,OCT,2012,10650,2155
A8,A8,Navistar,SEP,2012,14691,2952
A8,A8,Navistar,AUG,2012,12366,2235
A8,A8,Navistar,JUL,2012,13869,2759
A8,A8,Navistar,JUN,2012,13025,2686
A8,A8,Navistar,MAY,2012,10661,1967
A8,A8,Navistar,APR,2012,9916,2125
A8,A8,Navistar,MAR,2012,13638,2768
A8,A8,Navistar,FEB,2012,13326,2402
A8,A8,Navistar,JAN,2012,11289,2129
A8,A8,Navistar,DEC,2011,13562,2859
A8,A8,Navistar,NOV,2011,11060,1992
A8,A8,Navistar,OCT,2011,11088,2446
A8,A8,Navistar,SEP,2011,13408,2699
A8,A8,Navistar,AUG,2011,10579,2308
A8,A8,Navistar,JUL,2011,12385,2239
A8,A8,Navistar,JUN,2011,11363,2501
A8,A8,Navistar,MAY,2011,12901,2501
A8,A8,Navistar,APR,2011,13806,2501
A8,A8,Navistar,MAR,2011,13871,2501
A8,A8,Navistar,FEB,2011,12250,2501
A8,A8,Navistar,JAN,2011,12457,2501
A8,A8,Navistar,DEC,2010,11351,2501
A8,A8,Navistar,NOV,2010,13023,2501
A8,A8,Navistar,OCT,2010,9836,2501
A8,A8,Navistar,SEP,2010,13387,2501
A8,A8,Navistar,AUG,2010,11932,2501
A8,A8,Navistar,JUL,2010,9773,2501
A8,A8,Navistar,JUN,2010,14765,2501
A8,A8,Navistar,MAY,2010,12951,2501
A8,A8,Navistar,APR,2010,13626,2501
A8,A8,Navistar,MAR,2010,13724,2501
A8,A8,Navistar,FEB,2010,12001,2501
A8,A8,Navistar,JAN,2010,10313,2501
A8,A8,Navistar,DEC,2009,10837,2501
A8,A8,Navistar,NOV,2009,12641,2501
A8,A8,Navistar,OCT,2009,10699,2501
A8,A8,Navistar,SEP,2009,10444,2501
A8,A8,Navistar,AUG,2009,12712,2501
A8,A8,Navistar,JUL,2009,11768,2501
A8,A8,Navistar,JUN,2009,12787,2501
A8,A8,Navistar,MAY,2009,11397,2501
A8,A8,Navistar,APR,2009,14780,2501
A8,A8,Navistar,MAR,2009,10938,2501
A8,A8,Navistar,FEB,2009,9773,2501
A8,A8,Navistar,JAN,2009,15316,2501
A9,A9,Volvo,JUN,2013,12601,2515
A9,A9,Volvo,MAY,2013,9707,1869
A9,A9,Volvo,APR,2013,11914,2479
A9,A9,Volvo,MAR,2013,11531,2207
A9,A9,Volvo,FEB,2013,12913,2342
A9,A9,Volvo,JAN,2013,9648,1663
A9,A9,Volvo,DEC,2012,12035,2497
A9,A9,Volvo,NOV,2012,8453,1746
A9,A9,Volvo,OCT,2012,13856,3082
A9,A9,Volvo,SEP,2012,9692,1843
A9,A9,Volvo,AUG,2012,13051,2720
A9,A9,Volvo,JUL,2012,14617,2788
A9,A9,Volvo,JUN,2012,14482,2755
A9,A9,Volvo,MAY,2012,10494,2314
A9,A9,Volvo,APR,2012,11086,2309
A9,A9,Volvo,MAR,2012,15225,2887
A9,A9,Volvo,FEB,2012,13531,2934
A9,A9,Volvo,JAN,2012,12320,2384
A9,A9,Volvo,DEC,2011,13974,2903
A9,A9,Volvo,NOV,2011,15563,2861
A9,A9,Volvo,OCT,2011,10620,2366
A9,A9,Volvo,SEP,2011,12734,2258
A9,A9,Volvo,AUG,2011,13800,3091
A9,A9,Volvo,JUL,2011,14059,3227
A9,A9,Volvo,JUN,2011,12302,2132
A9,A9,Volvo,MAY,2011,12309,2132
A9,A9,Volvo,APR,2011,13391,2132
A9,A9,Volvo,MAR,2011,12058,2132
A9,A9,Volvo,FEB,2011,14120,2132
A9,A9,Volvo,JAN,2011,9893,2132
A9,A9,Volvo,DEC,2010,14365,2132
A9,A9,Volvo,NOV,2010,13410,2132
A9,A9,Volvo,OCT,2010,10675,2132
A9,A9,Volvo,SEP,2010,10776,2132
A9,A9,Volvo,AUG,2010,10894,2132
A9,A9,Volvo,JUL,2010,10624,2132
A9,A9,Volvo,JUN,2010,10498,2132
A9,A9,Volvo,MAY,2010,8565,2132
A9,A9,Volvo,APR,2010,14132,2132
A9,A9,Volvo,MAR,2010,13023,2132
A9,A9,Volvo,FEB,2010,12539,2132
A9,A9,Volvo,JAN,2010,13137,2132
A9,A9,Volvo,DEC,2009,9953,2132
A9,A9,Volvo,NOV,2009,13285,2132
A9,A9,Volvo,OCT,2009,11823,2132
A9,A9,Volvo,SEP,2009,12052,2132
A9,A9,Volvo,AUG,2009,11633,2132
A9,A9,Volvo,JUL,2009,11316,2132
A9,A9,Volvo,JUN,2009,14756,2132
A9,A9,Volvo,MAY,2009,11811,2132
A9,A9,Volvo,APR,2009,14841,2132
A9,A9,Volvo,MAR,2009,12615,2132
A9,A9,Volvo,FEB,2009,13636,2132
A9,A9,Volvo,JAN,2009,13118,2132
A10,A10,Peterbilt,JUN,2013,13699,2583
A10,A10,Peterbilt,MAY,2013,11583,2077
A10,A10,Peterbilt,APR,2013,12833,2473
A10,A10,Peterbilt,MAR,2013,13168,2436
A10,A10,Peterbilt,FEB,2013,12751,2622
A10,A10,Peterbilt,JAN,2013,9391,2104
A10,A10,Peterbilt,DEC,2012,11971,2472
A10,A10,Peterbilt,NOV,2012,14276,2762
A10,A10,Peterbilt,OCT,2012,11132,2298
A10,A10,Peterbilt,SEP,2012,13841,2988
A10,A10,Peterbilt,AUG,2012,14740,3110
A10,A10,Peterbilt,JUL,2012,15351,3106
A10,A10,Peterbilt,JUN,2012,11393,2332
A10,A10,Peterbilt,MAY,2012,10254,1887
A10,A10,Peterbilt,APR,2012,13728,2881
A10,A10,Peterbilt,MAR,2012,9443,2056
A10,A10,Peterbilt,FEB,2012,11215,2156
A10,A10,Peterbilt,JAN,2012,14100,2763
A10,A10,Peterbilt,DEC,2011,11466,2758
A10,A10,Peterbilt,NOV,2011,12994,2911
A10,A10,Peterbilt,OCT,2011,10937,2480
A10,A10,Peterbilt,SEP,2011,11992,2288
A10,A10,Peterbilt,AUG,2011,11840,2438
A10,A10,Peterbilt,JUL,2011,10210,2041
A10,A10,Peterbilt,JUN,2011,13328,2195
A10,A10,Peterbilt,MAY,2011,14832,2195
A10,A10,Peterbilt,APR,2011,12827,2195
A10,A10,Peterbilt,MAR,2011,11954,2195
A10,A10,Peterbilt,FEB,2011,11950,2195
A10,A10,Peterbilt,JAN,2011,13292,2195
A10,A10,Peterbilt,DEC,2010,14176,2195
A10,A10,Peterbilt,NOV,2010,13526,2195
A10,A10,Peterbilt,OCT,2010,12092,2195
A10,A10,Peterbilt,SEP,2010,15044,2195
A10,A10,Peterbilt,AUG,2010,11687,2195
A10,A10,Peterbilt,JUL,2010,12447,2195
A10,A10,Peterbilt,JUN,2010,12002,2195
A10,A10,Peterbilt,MAY,2010,15542,2195
A10,A10,Peterbilt,APR,2010,13672,2195
A10,A10,Peterbilt,MAR,2010,13771,2195
A10,A10,Peterbilt,FEB,2010,13568,2195
A10,A10,Peterbilt,JAN,2010,10435,2195
A10,A10,Peterbilt,DEC,2009,10993,2195
A10,A10,Peterbilt,NOV,2009,11864,2195
A10,A10,Peterbilt,OCT,2009,9031,2195
A10,A10,Peterbilt,SEP,2009,11072,2195
A10,A10,Peterbilt,AUG,2009,14045,2195
A10,A10,Peterbilt,JUL,2009,14839,2195
A10,A10,Peterbilt,JUN,2009,12902,2195
A10,A10,Peterbilt,MAY,2009,9940,2195
A10,A10,Peterbilt,APR,2009,13086,2195
A10,A10,Peterbilt,MAR,2009,12030,2195
A10,A10,Peterbilt,FEB,2009,14468,2195
A10,A10,Peterbilt,JAN,2009,10654,2195
A11,A11,Peterbilt,JUN,2013,12447,2596
A11,A11,Peterbilt,MAY,2013,15726,3145
A11,A11,Peterbilt,APR,2013,11461,2512
A11,A11,Peterbilt,MAR,2013,14566,3360
A11,A11,Peterbilt,FEB,2013,11557,2524
A11,A11,Peterbilt,JAN,2013,15319,3025
A11,A11,Peterbilt,DEC,2012,15166,2951
A11,A11,Peterbilt,NOV,2012,12052,2725
A11,A11,Peterbilt,OCT,2012,8542,1951
A11,A11,Peterbilt,SEP,2012,10500,2105
A11,A11,Peterbilt,AUG,2012,9041,1990
A11,A11,Peterbilt,JUL,2012,9225,1619
A11,A11,Peterbilt,JUN,2012,11125,2407
A11,A11,Peterbilt,MAY,2012,11534,2713
A11,A11,Peterbilt,APR,2012,9663,2203
A11,A11,Peterbilt,MAR,2012,14289,2889
A11,A11,Peterbilt,FEB,2012,11401,2267
A11,A11,Peterbilt,JAN,2012,11482,2132
A11,A11,Peterbilt,DEC,2011,12973,2740
A11,A11,Peterbilt,NOV,2011,13168,2848
A11,A11,Peterbilt,OCT,2011,9434,1807
A11,A11,Peterbilt,SEP,2011,13087,2588
A11,A11,Peterbilt,AUG,2011,11873,2572
A11,A11,Peterbilt,JUL,2011,12903,2693
A11,A11,Peterbilt,JUN,2011,13661,2000
A11,A11,Peterbilt,MAY,2011,11651,2000
A11,A11,Peterbilt,APR,2011,15536,2000
A11,A11,Peterbilt,MAR,2011,14425,2000
A11,A11,Peterbilt,FEB,2011,11662,2000
A11,A11,Peterbilt,JAN,2011,12083,2000
A11,A11,Peterbilt,DEC,2010,14091,2000
A11,A11,Peterbilt,NOV,2010,10043,2000
A11,A11,Peterbilt,OCT,2010,13763,2000
A11,A11,Peterbilt,SEP,2010,9530,2000
A11,A11,Peterbilt,AUG,2010,13776,2000
A11,A11,Peterbilt,JUL,2010,11376,2000
